iter	Logloss
123	0.2779171313
124	0.2762310009
125	0.2744114558
126	0.2724751902
127	0.2706515914
128	0.2690929138
129	0.2672856093
130	0.2656132846
131	0.2639104795
132	0.2621976571
133	0.2608438143
134	0.2595182223
135	0.2573868812
136	0.2553923389
137	0.2537025313
138	0.2520907664
139	0.2503753551
140	0.2488720479
141	0.2472362137
142	0.245473404
143	0.2441875273
144	0.2425410589
145	0.2412518281
146	0.2399112659
147	0.2384542323
148	0.237074645
149	0.2351564144
150	0.2336678943
151	0.2323878721
152	0.2311534919
153	0.2300064676
154	0.2287080726
155	0.2276573065
156	0.2261933167
157	0.2250066267
158	0.2238215481
159	0.2226559029
160	0.2214836383
161	0.2201395414
162	0.2185309398
163	0.2173723057
164	0.2156982372
165	0.2148313192
166	0.2135834145
167	0.2126400082
168	0.2115046084
169	0.2105943993
170	0.2095443869
171	0.2085912493
172	0.2073213739
173	0.2060797853
174	0.2052177962
175	0.2043235108
176	0.2033311941
177	0.2021626826
178	0.2013429362
179	0.2001448824
180	0.1987987173
181	0.1978534376
182	0.197150232
183	0.1959201688
184	0.1947778745
185	0.1936170699
186	0.1925733191
187	0.1916319332
188	0.1904968495
189	0.1895168683
190	0.1886416786
191	0.1877210425
192	0.1866859861
193	0.1856727058
194	0.1844883215
195	0.1835964188
196	0.1826593462
197	0.1817700151
198	0.1807932181
199	0.1800731501
200	0.1793476901
201	0.1786378932
202	0.1777131913
203	0.1767839616
204	0.1759732846
205	0.1752342131
206	0.1743700466
207	0.1735777006
208	0.1725655005
209	0.1717309295
210	0.1708888673
211	0.1699874116
212	0.1690019092
213	0.168363196
214	0.1675452156
215	0.1668283226
216	0.165980536
217	0.1650930807
218	0.1644500303
219	0.1637168894
220	0.1628898379
221	0.1621595722
222	0.1613935456
223	0.1607211125
224	0.1599993361
225	0.1590613619
226	0.1581901591
227	0.157669338
228	0.1568865198
229	0.1563112727
230	0.1556307379
231	0.1549226418
232	0.154091296
233	0.1534039543
234	0.1527234801
235	0.1522282435
236	0.1516568287
237	0.1510304956
238	0.1501019481
239	0.1493358226
240	0.1484370093
241	0.1477195772
242	0.1472154983
243	0.1467094848
244	0.1461605659
245	0.1456658406
246	0.1448708104
247	0.1441998403
248	0.1436155199
249	0.1430507834
250	0.1421982222
251	0.1414993321
252	0.1408200744
253	0.1400607786
254	0.1393797379
255	0.1387005306
256	0.1381126775
257	0.1375562878
258	0.1369276589
259	0.1363769194
260	0.1359031081
261	0.135314694
262	0.1346565353
263	0.1341288652
264	0.1336370086
265	0.1330007982
266	0.1321985011
267	0.131556769
268	0.1309512261
269	0.1303508051
270	0.1298503328
271	0.129342561
272	0.1287106381
273	0.1282640743
274	0.1278660207
275	0.1273499504
276	0.1269198984
277	0.1264503043
278	0.1260981135
279	0.1255868489
280	0.1251533542
281	0.1246412721
282	0.1241694232
283	0.1236403356
284	0.1230705472
285	0.122483465
286	0.122043249
287	0.1217097834
288	0.1213045864
289	0.1207354303
290	0.1203805593
291	0.1199638113
292	0.1194717453
293	0.1189782681
294	0.1184453541
295	0.1180088678
296	0.1176047166
297	0.1173180976
298	0.1167817216
299	0.1163256034
300	0.1159209848
301	0.1156169523
302	0.1150311263
303	0.1145928019
304	0.1142402773
305	0.1137980186
306	0.1132157461
307	0.1127434548
308	0.112405725
309	0.1121416031
310	0.1116045858
311	0.1110781258
312	0.1105332946
313	0.1100703958
314	0.1095813442
315	0.1090841735
316	0.1086083731
317	0.1080620454
318	0.1077197485
319	0.107235385
320	0.1067324772
321	0.1063738271
322	0.1060841152
323	0.1057454439
324	0.1054458191
325	0.1051081776
326	0.1048231727
327	0.1044596784
328	0.1040829562
329	0.1036948281
330	0.1033488175
331	0.1030977385
332	0.1028574613
333	0.1024922769
334	0.1021796175
335	0.1017718522
336	0.1015291919
337	0.1009973015
338	0.1007454793
339	0.1002688777
340	0.09992502123
341	0.09960106569
342	0.09932050696
343	0.09904230347
344	0.09879170416
345	0.09846883447
346	0.09818404717
347	0.09788600148
348	0.09750218336
349	0.09718675101
350	0.09688694165
351	0.09669533336
352	0.09648451623
353	0.09607774112
354	0.09577121177
355	0.09548713223
356	0.09511568065
357	0.09477987228
358	0.09454040575
359	0.09419485206
360	0.09386531584
361	0.09365895593
362	0.09332072471
363	0.09304815624
364	0.09273173062
365	0.09252046606
366	0.09209601828
367	0.09173339296
368	0.09145253118
369	0.09113169181
370	0.09075443674
371	0.09044789242
372	0.0901701958
373	0.08981597682
374	0.08957433321
375	0.08926171986
376	0.08900295133
377	0.08880201017
378	0.088445033
379	0.08826754036
380	0.0880233662
381	0.08785180275
382	0.08760568299
383	0.08726683301
384	0.08701704032
385	0.08666016383
386	0.08645380354
387	0.08617392993
388	0.08594107461
389	0.08566827559
390	0.08536239616
391	0.08501596479
392	0.08479275364
393	0.08460986961
394	0.08436545425
395	0.0840520282
396	0.08377017239
397	0.08342913879
398	0.08308953568
399	0.08284111456
400	0.08263009762
401	0.08246155422
402	0.08227266145
403	0.08196252846
404	0.08171754528
405	0.08147052807
406	0.0811668052
407	0.08085798983
408	0.08064777602
409	0.0803659307
410	0.08015254433
411	0.07987568342
412	0.07950706519
413	0.07935056761
414	0.07906364295
415	0.07876067988
416	0.07854565391
417	0.078314574
418	0.07802144926
419	0.07774537008
420	0.07742353096
421	0.07717718532
422	0.07693403133
423	0.07678835415
424	0.07656910611
425	0.07632778245
426	0.07603466398
427	0.07575367998
428	0.07555454719
429	0.07525823974
430	0.07508004966
431	0.07482722605
432	0.07453939134
433	0.07426911449
434	0.07398543768
435	0.07379518463
436	0.07360220308
437	0.07344754734
438	0.07318192732
439	0.07290456083
440	0.0727002911
441	0.07247599641
442	0.07221030329
443	0.07199753607
444	0.07184533576
445	0.07166751435
446	0.07141238179
447	0.07113877548
448	0.07092649137
449	0.07065100071
450	0.07044392104
451	0.07022773498
452	0.06999917177
453	0.06985430859
454	0.06965544629
455	0.06950263861
456	0.06922023024
457	0.06900136945
458	0.0687629482
459	0.06859176796
460	0.06839892379
461	0.06824373426
462	0.06799671197
463	0.06772354038
464	0.06754682999
465	0.06743225862
466	0.06727450144
467	0.06702406087
468	0.06680730399
469	0.06666173796
470	0.06642518108
471	0.06621017697
472	0.06605610694
473	0.06585957136
474	0.06567175792
475	0.06547096614
476	0.06530993827
477	0.06508119798
478	0.06496208675
479	0.06480220719
480	0.06467757313
481	0.06448189015
482	0.06436674136
483	0.06416638636
484	0.06399208405
485	0.0637897462
486	0.06360820107
487	0.06338898843
488	0.06324170973
489	0.06304728618
490	0.06283455872
491	0.06264117333
492	0.0625463756
493	0.06241531249
494	0.06228234098
495	0.06214899903
496	0.06197732574
497	0.06175456579
498	0.06157558971
499	0.06141431133
500	0.06124487377
501	0.06104403263
502	0.06089079116
503	0.06068900077
504	0.06052869155
505	0.06038566752
506	0.06025489608
507	0.06012779736
508	0.05997266397
509	0.05982831015
510	0.05963704441
511	0.0595002304
512	0.05941494255
513	0.05926130409
514	0.05912174067
515	0.05895835242
516	0.05877703032
517	0.0586172366
518	0.05848503259
519	0.05833743812
520	0.05821831947
521	0.05807380677
522	0.05788171181
523	0.05780531347
524	0.05765541898
525	0.05750656386
526	0.05740610701
527	0.05730685744
528	0.05718354209
529	0.05706239473
530	0.05688685243
531	0.05676088977
532	0.05659608556
533	0.05644745106
534	0.05631559873
535	0.05621342825
536	0.05612451174
537	0.05593074663
538	0.05575454551
539	0.05555671761
540	0.05538321006
541	0.05521545902
542	0.05511288987
543	0.05496198379
544	0.05486352453
545	0.05475355047
546	0.05464642992
547	0.05451788853
548	0.05439532282
549	0.05425071145
550	0.05415951773
551	0.05400586597
552	0.05391992845
553	0.05378425835
554	0.05362277864
555	0.05347010074
556	0.0532951656
557	0.05316986537
558	0.05305735662
559	0.05295025705
560	0.05278639055
561	0.05263862542
562	0.05251921132
563	0.05241818935
564	0.05227099602
565	0.05215556555
566	0.05206701242
567	0.05194345257
568	0.0517781019
569	0.05163482552
570	0.05146199702
571	0.05135854098
572	0.0512115032
573	0.05105487491
574	0.05094803773
575	0.05081551836
576	0.05075683099
577	0.05064540325
578	0.05054480109
579	0.05042900992
580	0.05031019867
581	0.05018249441
582	0.05007758712
583	0.04998373547
584	0.04985368021
585	0.04972964734
586	0.0496151061
587	0.0494843256
588	0.04933653632
589	0.04921439206
590	0.04912840435
591	0.0490046284
592	0.04891622927
593	0.04883630236
594	0.04871420323
595	0.04859092022
596	0.04845300007
597	0.0483050683
598	0.04818070665
599	0.04810155462
600	0.04795160587
601	0.0478182477
602	0.04769789132
603	0.04755978047
604	0.04749288436
605	0.04738398049
606	0.04729609124
607	0.04724105074
608	0.04710064431
609	0.0469675955
610	0.04690408625
611	0.04681046627
612	0.04668918734
613	0.04660992144
614	0.04648851712
615	0.04637755529
616	0.04628818212
617	0.04616659189
618	0.04604777508
619	0.04597121437
620	0.04588480927
621	0.04575912906
622	0.04563893708
623	0.04551321749
624	0.0453984226
625	0.04528686675
626	0.04516813823
627	0.04509954675
628	0.04500095681
629	0.04492362779
630	0.04482731556
631	0.04473906458
632	0.04468344236
633	0.04455958993
634	0.04443897886
635	0.04435939424
636	0.04426037293
637	0.04417527146
638	0.04406397927
639	0.04395154571
640	0.04383145973
641	0.04376678367
642	0.04365606885
643	0.043600157
644	0.04352869784
645	0.04341561185
646	0.04332444615
647	0.04321178529
648	0.0431101276
649	0.04306878226
650	0.04297116254
651	0.04286507883
652	0.04275453255
653	0.04269022594
654	0.04260878276
655	0.04251573804
656	0.04243754431
657	0.04238992228
658	0.04231568243
659	0.04220781734
660	0.04210843223
661	0.04203523961
662	0.04196012649
663	0.04186283412
664	0.04177923012
665	0.04168020345
666	0.04161398387
667	0.04149264285
668	0.04143606385
669	0.04133662169
670	0.04121721529
671	0.04113322822
672	0.04103110002
673	0.04092354884
674	0.04082645314
675	0.0407588082
676	0.04067552664
677	0.04063673971
678	0.04053744885
679	0.04045196976
680	0.04039159703
681	0.04032990784
682	0.04021541888
683	0.04014836669
684	0.04008522051
685	0.0399999175
686	0.03990087037
687	0.03980990017
688	0.03970304942
689	0.03961496891
690	0.03953431923
691	0.03944325453
692	0.03936147996
693	0.03929957207
694	0.03925707769
695	0.03919270801
696	0.03910760854
697	0.03902606719
698	0.03897655606
699	0.03891174748
700	0.03883287257
701	0.03874982845
702	0.03865950568
703	0.03861880159
704	0.03851948897
705	0.03844532776
706	0.03839343723
707	0.03830198003
708	0.03820310378
709	0.0381134789
710	0.03807469095
711	0.0379895374
712	0.03792337205
713	0.03780922398
714	0.03773141964
715	0.03765612332
716	0.03757612724
717	0.03750332321
718	0.03742561594
719	0.03734061576
720	0.03727383455
721	0.03720141405
722	0.03714875747
723	0.03707591405
724	0.03699554719
725	0.03692242412
726	0.03688016353
727	0.03680607974
728	0.0367077218
729	0.03661860249
730	0.03653470042
731	0.03645468607
732	0.03637680258
733	0.03631314017
734	0.0362410872
735	0.03616498151
736	0.03610348993
737	0.0360217542
738	0.03595004449
739	0.03588435712
740	0.03582693825
741	0.03575026925
742	0.03569859739
743	0.03561571044
744	0.0355295491
745	0.03546133015
746	0.03541420208
747	0.03533166847
748	0.03527400628
749	0.03522623002
750	0.0351878458
751	0.0351026814
752	0.0350678776
753	0.03501716054
754	0.03498909994
755	0.03496067826
756	0.03488661031
757	0.03482183222
758	0.0347276261
759	0.03465199994
760	0.03457570177
761	0.03451516728
762	0.03444891752
763	0.03437508784
764	0.03429079996
765	0.03421044068
766	0.03413398486
767	0.03406478002
768	0.03398487118
769	0.03390576628
770	0.03386965208
771	0.03379352578
772	0.03373828331
773	0.03367180307
774	0.03359703455
775	0.03354116511
776	0.03346465104
777	0.03339395698
778	0.03333127694
779	0.03327397882
780	0.03322322472
781	0.03314480494
782	0.03309176235
783	0.03302200658
784	0.03294828168
785	0.03287897444
786	0.03281438499
787	0.03273787396
788	0.03268248866
789	0.03262995258
790	0.0325593782
791	0.03249797004
792	0.03245229441
793	0.03239076517
794	0.03234264337
795	0.03229454428
796	0.03224625354
797	0.03218502783
798	0.03212154279
799	0.03206001381
800	0.03200879773
801	0.03194950332
802	0.03189638274
803	0.0318495849
804	0.03178217663
805	0.03172662391
806	0.03165585088
807	0.03159134512
808	0.03154584946
809	0.03149001284
810	0.03143957376
811	0.0313861038
812	0.03131657909
813	0.03125942061
814	0.03123192253
815	0.03117179578
816	0.03110354295
817	0.03104389045
818	0.03098847835
819	0.03092059937
820	0.03086775267
821	0.03081961418
822	0.03076567628
823	0.03070361523
824	0.03065406651
825	0.03060027707
826	0.03053346513
827	0.03050802433
828	0.03044877335
829	0.03038723223
830	0.03032790594
831	0.03026274275
832	0.03020470884
833	0.03014713811
834	0.03008321477
835	0.03003241155
836	0.02997095788
837	0.02991008968
838	0.02985493939
839	0.02981838513
840	0.02976202925
841	0.02969697941
842	0.02964765494
843	0.02959420199
844	0.0295353678
845	0.02947362205
846	0.02943341371
847	0.02938681852
848	0.02933038227
849	0.02926756949
850	0.02920735086
851	0.02915500758
852	0.02908893217
853	0.02902511145
854	0.02896615331
855	0.02893640461
856	0.0289068546
857	0.02885390142
858	0.02880372981
859	0.0287499746
860	0.02871093974
861	0.02866897638
862	0.02863440147
863	0.02859236754
864	0.02853924701
865	0.0284902519
866	0.02843814443
867	0.02838811767
868	0.02835342563
869	0.02830554316
870	0.02826655739
871	0.02821716787
872	0.02817026422
873	0.02814827421
874	0.0281187833
875	0.0280756192
876	0.0280194481
877	0.02796701684
878	0.02792233136
879	0.02785978402
880	0.02781574315
881	0.02776600928
882	0.0277333251
883	0.02769193748
884	0.02766314417
885	0.02761793625
886	0.0275698528
887	0.02751779255
888	0.0274930649
889	0.02747860441
890	0.02743295881
891	0.02738311685
892	0.02733387059
893	0.02730501129
894	0.02728296166
895	0.02723720215
896	0.02719649511
897	0.02714567969
898	0.02708748679
899	0.02703108342
900	0.02699474097
901	0.02694296636
902	0.02689126815
903	0.02684755089
904	0.02680258546
905	0.02676244756
906	0.02672283759
907	0.02668702164
908	0.02664264198
909	0.02660905878
910	0.02656844096
911	0.02652626365
912	0.02647811254
913	0.02642255165
914	0.02637215954
915	0.02632534346
916	0.02628591527
917	0.02624098471
918	0.02619040301
919	0.02613616823
920	0.02609262669
921	0.02605977562
922	0.02602435984
923	0.02597229305
924	0.02592416782
925	0.02587540552
926	0.02583255305
927	0.02578349012
928	0.0257301862
929	0.02569339902
930	0.02564783458
931	0.02561163805
932	0.02558474429
933	0.02553196226
934	0.02548957752
935	0.02545077102
936	0.0254080257
937	0.02538498915
938	0.02534380804
939	0.02529943793
940	0.02524766787
941	0.02521746884
942	0.02517006605
943	0.02514628037
944	0.02512387107
945	0.02509298898
946	0.02504862992
947	0.02502821752
948	0.02499009157
949	0.02494877839
950	0.0249100705
951	0.02488517759
952	0.02484313289
953	0.02480739489
954	0.02475962731
955	0.0247131543
956	0.0246668313
957	0.02462972571
958	0.02458297463
959	0.02456763242
960	0.02451651389
961	0.02447264093
962	0.02443646368
963	0.02439782634
964	0.02435421368
965	0.0243279206
966	0.02430394837
967	0.02426436583
968	0.02422106401
969	0.02417470126
970	0.02414620757
971	0.02410763191
972	0.02406914696
973	0.02404445505
974	0.02400320149
975	0.02396889583
976	0.02393274131
977	0.02390393475
978	0.02386853095
979	0.0238288499
980	0.02378965647
981	0.0237448036
982	0.0237002688
983	0.02366175255
984	0.02363839856
985	0.02359830973
986	0.02357137619
987	0.02353786298
988	0.02349965203
989	0.0234504435
990	0.02341689863
991	0.02337439151
992	0.0233468095
993	0.0233126372
994	0.0232718256
995	0.02323722929
996	0.02320039769
997	0.02316070067
998	0.02311331344
999	0.02308819024
